time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-15T09:09:38.660Z,19.167667388916,-155.46533203125,31.8700008392334,2.61,ml,49,97,,0.119999997,hv,hv72950767,2022-03-15T10:02:58.040Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.53,0.769999981,3.44,28,automatic,hv,hv
2022-03-15T09:08:53.476Z,2.4142,96.2445,31.73,4.7,mb,,186,1.728,0.64,us,us6000h4nc,2022-03-15T09:27:12.040Z,"16 km WSW of Sinabang, Indonesia",earthquake,9.1,4.8,0.117,22,reviewed,us,us
2022-03-15T09:05:24.005Z,-26.9035,-176.1005,10,5.2,mww,,54,2.847,0.85,us,us6000h4nb,2022-03-15T12:09:09.040Z,"south of the Fiji Islands",earthquake,9.7,1.9,0.073,18,reviewed,us,us
2022-03-15T08:44:03.903Z,69.5879,-144.7041,9,4,ml,,,,0.95,ak,ak0223eisl68,2022-03-15T09:05:22.040Z,"73 km SW of Kaktovik, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2022-03-15T08:12:48.902Z,54.7139,-156.8241,14.4,3.8,ml,,,,1.17,ak,ak0223eilzpu,2022-03-15T16:53:44.223Z,"198 km SE of Perryville, Alaska",earthquake,,5,,,reviewed,ak,ak
2022-03-15T08:05:20.603Z,14.1055,119.3683,10,5,mww,,73,8.816,1.13,us,us6000h4n2,2022-03-15T14:27:34.040Z,"77 km WNW of Cabra, Philippines",earthquake,8,1.8,0.06,27,reviewed,us,us
2022-03-15T07:54:00.672Z,-59.7683,-26.2587,35,4.9,mb,,94,9.234,0.87,us,us6000h4mz,2022-03-15T08:15:56.040Z,"South Sandwich Islands region",earthquake,11.5,1.8,0.087,42,reviewed,us,us
2022-03-15T07:30:31.950Z,19.2406673431396,-155.385162353516,32.3600006103516,2.74,ml,50,142,,0.129999995,hv,hv72950682,2022-03-15T09:17:49.287Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.47,0.550000012,3.72,35,automatic,hv,hv
2022-03-15T06:40:15.593Z,26.8934,126.409,10,4.9,mww,,70,1.665,0.45,us,us6000h4mq,2022-03-15T07:00:42.040Z,"147 km WNW of Naha, Japan",earthquake,4.1,1.8,0.098,10,reviewed,us,us
2022-03-15T06:37:43.402Z,-19.0657,-67.0727,250.21,4.2,mb,,112,2.09,0.55,us,us6000h4mn,2022-03-15T08:19:04.040Z,"36 km WSW of Challapata, Bolivia",earthquake,9.8,11.1,0.153,12,reviewed,us,us
2022-03-15T06:36:35.602Z,45.3915,84.9796,10,4.4,mb,,113,2.338,0.78,us,us6000h4mp,2022-03-15T08:26:10.040Z,"22 km SSE of Karamay, China",earthquake,6.4,1.9,0.143,14,reviewed,us,us
2022-03-15T05:40:18.545Z,61.0297,-149.8307,17.6,2.8,ml,,,,0.8,ak,ak0223egzgp8,2022-03-15T06:33:32.765Z,"16 km NW of Hope, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-15T04:31:57.868Z,14.118,119.433,10,4.7,mb,,126,19.19,0.82,us,us6000h4m9,2022-03-15T05:19:19.040Z,"Luzon, Philippines",earthquake,13.7,1.9,0.086,41,reviewed,us,us
2022-03-15T00:57:31.560Z,34.4368333,-119.2963333,10.23,2.5,ml,47,53,0.03982,0.25,ci,ci40207960,2022-03-15T14:42:48.290Z,"5km WSW of Ojai, CA",earthquake,0.25,0.53,0.169,66,reviewed,ci,ci
2022-03-15T00:37:22.340Z,19.1858329772949,-155.491333007812,32.3899993896484,2.83,ml,49,73,,0.129999995,hv,hv72950417,2022-03-15T07:34:35.410Z,"2 km SW of Pāhala, Hawaii",earthquake,0.47,0.689999998,3.4,30,automatic,hv,hv
2022-03-14T23:36:42.185Z,14.1967,119.4336,10,4.7,mb,,97,8.715,0.82,us,us6000h4kx,2022-03-15T08:25:00.283Z,"74 km WNW of Cabra, Philippines",earthquake,7.7,1.9,0.048,133,reviewed,us,us
2022-03-14T22:23:48.031Z,14.1316,119.237,10,4.7,mb,,98,9.215,0.83,us,us6000h4kj,2022-03-15T06:53:13.818Z,"91 km WNW of Cabra, Philippines",earthquake,8.6,1.8,0.055,102,reviewed,us,us
2022-03-14T22:20:14.515Z,-21.8927,-68.5461,115.53,4.4,mwr,,56,1.107,1.36,us,us6000h4ke,2022-03-14T23:42:11.040Z,"73 km NNE of Calama, Chile",earthquake,4.9,4.4,0.06,27,reviewed,us,us
2022-03-14T21:52:56.992Z,-7.4854,120.147,388.17,4.2,mb,,68,2.364,0.6,us,us6000h4kc,2022-03-14T22:44:09.040Z,"Flores Sea",earthquake,10,11.1,0.176,9,reviewed,us,us
2022-03-14T21:10:33.372Z,9.5403,-84.828,9.07,3.4,ml,,209,0.755,0.19,us,us6000h4k1,2022-03-15T05:32:27.293Z,"23 km WSW of Jacó, Costa Rica",earthquake,2.2,11.9,0.081,20,reviewed,us,us
2022-03-14T19:22:28.250Z,38.7818336,-122.7536697,1.85,2.97,md,69,37,0.01332,0.08,nc,nc73705586,2022-03-15T04:43:21.206Z,"1km NNE of The Geysers, CA",earthquake,0.14,0.23,0.15,56,automatic,nc,nc
2022-03-14T19:16:16.300Z,33.9348333,-116.6406667,11.97,2.94,ml,118,36,0.1036,0.15,ci,ci40207704,2022-03-15T16:18:48.721Z,"10km WNW of Garnet, CA",earthquake,0.09,0.28,0.168,191,reviewed,ci,ci
2022-03-14T18:08:27.943Z,-26.2976,71.7538,10,4.9,mb,,127,43.989,0.81,us,us6000h4ij,2022-03-14T19:05:41.040Z,"Mid-Indian Ridge",earthquake,13.4,1.9,0.087,42,reviewed,us,us
